NPA,Residential New Construction,Home Ownership,Housing Density,Housing Age,Housing Size,Sale_Price
159,3,38.7%,1,44,"1,172",301515.0
160,1,55.3%,1,40,"1,389",542213.0
161,0,4.8%,4,25,"3,889",518758.0
162,0,61.3%,2,38,"1,323",362646.0
163,1,38%,5,50,"2,247",400781.0
164,0,26.7%,3,63,"1,627",395623.0
165,89,20.3%,5,26,"1,527",
166,0,46.4%,4,42,"1,790",581477.0
167,0,33.6%,2,39,"1,743",
168,0,59.5%,3,51,"1,306",278200.0
169,0,57.8%,5,18,"2,935",522000.0
170,0,84.1%,1,23,"2,991",272450.0
171,0,43.6%,2,28,"2,973",276069.0
172,0,48%,2,13,"3,054",272433.0
173,4,74.8%,1,28,"1,342",1401196.0
174,1,87.2%,0,36,"1,785",382500.0
175,4,82.9%,1,41,"2,534",257640.0
176,0,83.8%,2,26,"2,484",381147.0
177,1,92.6%,2,39,"2,887",243738.0
178,15,17.3%,1,37,"1,782",305083.0
179,1,94%,2,50,"2,922",266979.0
180,0,76.8%,2,35,"1,626",334864.0
181,0,64.4%,1,32,"3,461",542350.0
182,0,77.5%,1,36,"1,225",
183,0,28.1%,2,48,"1,498",
184,6,83.4%,3,56,"2,029",280989.0
186,0,76.5%,1,37,"1,502",537674.0
187,0,41.6%,3,23,"2,720",640647.0
188,1,52.6%,2,21,"2,885",290948.0
189,0,0%,5,23,"4,220",
190,0,22.9%,1,35,"1,151",505042.0
191,0,63.3%,2,28,"2,013",371783.0
192,4,72.7%,1,14,"2,438",329514.0
193,4,50.3%,2,47,"3,105",667910.0
194,0,68.9%,2,25,"4,175",
195,6,25.3%,2,20,"2,585",387026.0
196,8,73.7%,1,21,"2,029",301635.0
197,2,49.5%,3,40,"1,855",437083.0
198,5,48.9%,2,43,"2,878",814429.0
199,2,6.1%,3,17,"1,608",
201,1,88.5%,1,26,"4,197",526580.0
202,0,64.6%,3,42,"1,488",897500.0
203,0,82.9%,2,18,"2,325",433565.0
204,0,74.6%,3,19,"2,391",236500.0
205,12,100%,1,27,"3,842",336500.0
206,0,40.4%,4,27,"2,314",354773.0
207,0,1.4%,4,5,"2,243",
208,2,98.5%,1,47,"4,310",1163259.0
209,0,52.8%,2,21,"1,997",983262.0
211,1,78.5%,2,26,"1,896",433932.0
212,0,44.4%,1,53,"1,863",544283.0
213,73,74.6%,2,56,"2,132",305500.0
215,3,100%,1,39,"3,971",281230.0
216,0,76.7%,2,39,"3,799",764293.0
217,1,96.8%,1,42,"3,618",279676.0
218,0,50.6%,2,34,"2,133",1178573.0
219,23,18.1%,1,28,"1,943",317204.0
220,0,44.3%,2,47,"1,457",553725.0
221,1,27.8%,3,27,"2,029",247167.0
222,0,100%,2,29,"2,610",421521.0
223,0,64.2%,2,57,"1,578",444477.0
224,0,35.4%,3,33,"2,330",1045038.0
225,0,50.8%,0,31,"1,766",324466.0
226,0,46.3%,4,64,"1,803",423700.0
227,0,79.5%,1,27,"1,722",1801065.0
228,24,82%,1,6,"2,207",286194.0
229,1,78%,1,16,"2,079",343732.0
230,0,6.3%,6,54,"1,013",
